eta,sI,sF,r,Tc,Tl,Tr,G,rB,Gap,popI,popF,Y
0.64,3.15,5.3,0.01,0.050242975674342,0.0540000000000002,0.0316799999999999,0.07,0,-0.00256297567434224,0.639999999999999,0.360000000000001,0.571200000000001
0.64,3.26944444444444,5.3,0.01,0.0502962801591508,0.0540000000000001,0.03168,0.07,0,-0.00261628015915089,0.639999999999999,0.360000000000001,0.5712
0.64,3.38888888888889,5.3,0.01,0.0503516620637288,0.0540000000000001,0.03168,0.07,0,-0.00267166206372893,0.639999999999999,0.360000000000001,0.571200000000001
0.64,3.50833333333333,5.3,0.01,0.0504089999278573,0.0540000000000001,0.03168,0.07,0,-0.00272899992785745,0.639999999999999,0.360000000000001,0.571200000000001
0.64,3.62777777777778,5.3,0.01,0.0504682101190292,0.0540000000000001,0.03168,0.07,0,-0.00278821011902934,0.639999999999999,0.360000000000001,0.571200000000001
0.64,3.74722222222222,5.3,0.01,0.0505292152085243,0.0540000000000002,0.03168,0.07,0,-0.00284921520852446,0.639999999999999,0.360000000000001,0.571200000000001
0.64,3.86666666666667,5.3,0.01,0.0505919067220541,0.0540000000000001,0.03168,0.07,0,-0.00291190672205419,0.639999999999999,0.360000000000001,0.571200000000001
0.64,3.98611111111111,5.3,0.01,0.0506561126658996,0.0540000000000001,0.03168,0.07,0,-0.00297611266589978,0.639999999999999,0.360000000000001,0.571200000000001
0.64,4.10555555555556,5.3,0.01,0.0507215843699422,0.0540000000000001,0.0316799999999999,0.07,0,-0.0030415843699424,0.639999999999999,0.360000000000001,0.571200000000001
0.64,4.225,5.3,0.01,0.050788004882324,0.0540000000000001,0.03168,0.07,0,-0.00310800488232417,0.639999999999999,0.360000000000001,0.571200000000001
0.64,4.34444444444444,5.3,0.01,0.0508550115931958,0.0540000000000001,0.03168,0.07,0,-0.003175011593196,0.639999999999999,0.360000000000001,0.571200000000001
0.64,4.46388888888889,5.3,0.01,0.0509222237630464,0.0540000000000002,0.0316799999999999,0.07,0,-0.00324222376304655,0.639999999999999,0.360000000000001,0.571200000000001
0.64,4.58333333333333,5.3,0.01,0.0509892679686989,0.0540000000000001,0.03168,0.07,0,-0.00330926796869907,0.639999999999999,0.360000000000001,0.571200000000001
0.64,4.70277777777778,5.3,0.01,0.0510557977895375,0.0540000000000001,0.0316799999999999,0.07,0,-0.00337579778953773,0.639999999999999,0.360000000000001,0.5712
0.64,4.82222222222222,5.3,0.01,0.0511215067037001,0.0540000000000001,0.03168,0.07,0,-0.0034415067037003,0.639999999999999,0.360000000000001,0.571200000000001
0.64,4.94166666666667,5.3,0.01,0.0511861347648905,0.0540000000000001,0.03168,0.07,0,-0.00350613476489063,0.639999999999999,0.360000000000001,0.571200000000001
0.64,5.06111111111111,5.3,0.01,0.0512494703543218,0.0540000000000001,0.03168,0.07,0,-0.0035694703543219,0.639999999999999,0.360000000000001,0.571200000000001
0.64,5.18055555555556,5.3,0.01,0.0513113484553705,0.0540000000000002,0.03168,0.07,0,-0.00363134845537069,0.639999999999999,0.360000000000001,0.571200000000001
0.64,5.3,5.3,0.01,0.05137164674842,0.0540000000000001,0.03168,0.07,0,-0.00369164674842012,0.639999999999999,0.360000000000001,0.5712
