t,shareI,Tl,Tc,Tr,G,rB,Gap,B
1,0.4486,0.08271,0.0646950436289291,0.0222057,0.07,-0.0289717504193487,-0.0841710940482778,-1.06530174997121
2,0.4448,0.08328,0.0647333915224972,0.0220176,0.07,-0.0289717504193487,-0.0849675419418459,-1.14947284401949
3,0.45,0.0825,0.0646809154576145,0.022275,0.07,-0.0312608520089745,-0.086166767466589,-1.23444038596133
4,0.4448,0.08328,0.0647333915224972,0.0220176,0.07,-0.0335716136489992,-0.0895674051714964,-1.32060715342792
5,0.4506,0.08241,0.0646748605270512,0.0223047,0.07,-0.0359149892057854,-0.0906951497328366,-1.41017455859942
6,0.445,0.08325,0.0647313732123094,0.0220275,0.07,-0.0383508478800131,-0.0943047210923224,-1.50086970833226
7,0.45,0.0825,0.0646809154576145,0.022275,0.07,-0.0408173764878711,-0.0957232919454856,-1.59517442942458
8,0.4572,0.08142,0.064608256290854,0.0226314,0.07,-0.0433820703344051,-0.0967789266252591,-1.69089772137006
9,0.4586,0.08121,0.0645941281195394,0.0227007,0.07,-0.0459853433729015,-0.0990887714924409,-1.78767664799532
10,0.4594,0.08109,0.0645860548787882,0.0227403,0.07,-0.0486173252579544,-0.101553080136743,-1.88676541948776
11,0.4588,0.08118,0.0645921098093516,0.0227106,0.07,-0.0513121252590963,-0.104373635068448,-1.98831849962451
12,0.4596,0.08106,0.0645840365686004,0.0227502,0.07,-0.0540739441447945,-0.106967780713395,-2.09269213469295
13,0.4568,0.08148,0.0646122929112296,0.0226116,0.07,-0.0569124703235462,-0.110393163234776,-2.19965991540635
14,0.4582,0.08127,0.064598164739915,0.0226809,0.07,-0.0598215464100389,-0.113008811149954,-2.31005307864112
15,0.457,0.08145,0.0646102746010418,0.0226215,0.07,-0.0628237785694499,-0.116262553170492,-2.42306188979108
16,0.4572,0.08142,0.064608256290854,0.0226314,0.07,-0.0658971454083876,-0.119294001699242,-2.53932444296157
17,0.4492,0.08262,0.0646889886983657,0.0222354,0.07,-0.0690590004167575,-0.124132589115123,-2.65861844466081
