r,A_I,A_F,A_priv,B_of_r,Y_of_r,S
0.012,0.0875105965356505,0.374001212372656,0.461511808908307,0.45,0.561819999999999,0.0115118089083067
0.01335,0.100462876736425,0.382261761325753,0.482724638062178,0.45,0.561819999999999,0.0327246380621785
0.0147,0.113672579076755,0.390579199717274,0.504251778794028,0.45,0.561819999999999,0.0542517787940281
0.01605,0.127140486863812,0.398950867493086,0.526091354356898,0.45,0.56182,0.076091354356898
0.0174,0.140867666190622,0.407374483564485,0.548242149755107,0.45,0.561819999999999,0.0982421497551071
0.01875,0.154855452910967,0.415848124656754,0.570703577567721,0.45,0.561819999999999,0.120703577567721
0.0201,0.169105416059214,0.42437018421083,0.593475600270045,0.45,0.56182,0.143475600270045
0.02145,0.183619219137842,0.432939244887347,0.61655846402519,0.45,0.561819999999999,0.16655846402519
0.0228,0.198398715006055,0.441554156880015,0.63995287188607,0.45,0.561819999999999,0.18995287188607
0.02415,0.213445805622236,0.450213912552405,0.663659718174641,0.45,0.56182,0.213659718174641
0.0255,0.22876239529093,0.458917605619093,0.687680000910022,0.45,0.56182,0.237680000910022
0.02685,0.24435042692595,0.467664461117311,0.712014888043261,0.45,0.561819999999999,0.262014888043261
0.0282,0.260211795307811,0.476453761862623,0.736665557170433,0.45,0.56182,0.286665557170433
0.02955,0.276348319794075,0.485284826814193,0.761633146608268,0.45,0.561819999999999,0.311633146608268
0.0309,0.292761709748712,0.494156984105792,0.786918693854505,0.45,0.56182,0.336918693854505
0.03225,0.309453532834012,0.503069547163729,0.812523079997741,0.45,0.56182,0.362523079997741
0.0336,0.326425185502614,0.512021793145922,0.838446978648536,0.45,0.56182,0.388446978648536
0.03495,0.343677863622064,0.521012941875306,0.86469080549737,0.45,0.56182,0.41469080549737
0.0363,0.361212533875733,0.530042135682316,0.89125466955805,0.45,0.56182,0.44125466955805
0.03765,0.379029907708856,0.539108421413822,0.918138329122679,0.45,0.561819999999999,0.468138329122679
0.039,0.397130417173802,0.548210733927795,0.945341151101597,0.45,0.561819999999999,0.495341151101597
0.04035,0.41551419293436,0.557347881134291,0.97286207406865,0.45,0.561819999999999,0.52286207406865
0.0417,0.434181044437877,0.566518530459095,1.00069957489697,0.45,0.561819999999999,0.550699574896972
0.04305,0.453130442453074,0.575721196769794,1.02885163922287,0.45,0.561819999999999,0.578851639222868
0.0444,0.472361504158147,0.584954231809581,1.05731573596773,0.45,0.561819999999999,0.607315735967729
0.04575,0.491872980625915,0.594215814954658,1.08608879558057,0.45,0.56182,0.636088795580573
0.0471,0.511663247114687,0.603503945560933,1.11516719267562,0.45,0.561819999999999,0.66516719267562
0.04845,0.531730295670873,0.612816436525156,1.14454673219603,0.45,0.56182,0.694546732196029
0.0498,0.552071730594123,0.622150909496558,1.17422264009068,0.45,0.56182,0.724222640090682
0.05115,0.572684722341079,0.631504760002279,1.20418948234336,0.45,0.56182,0.754189482343358
0.0525,0.593566178728846,0.640875278088131,1.23444145681698,0.45,0.56182,0.784441456816978
0.05385,0.61471253960611,0.650259498043761,1.26497203764987,0.45,0.561819999999999,0.814972037649871
0.0552,0.636119753600888,0.659654182095775,1.29577393569666,0.45,0.56182,0.845773935696662
0.05655,0.657783554393524,0.669056013511882,1.32683956790541,0.45,0.56182,0.876839567905406
0.0579,0.679699200010302,0.67846141140962,1.35816061141992,0.45,0.561819999999999,0.908160611419922
0.05925,0.701861550507755,0.687866585537164,1.38972813604492,0.45,0.56182,0.939728136044918
0.0606,0.72426532966395,0.697267718952137,1.42153304861609,0.45,0.561819999999999,0.971533048616087
0.06195,0.74690453995146,0.706660563245383,1.45356510319684,0.45,0.561819999999999,1.00356510319684
0.0633,0.769773062280472,0.716040858900808,1.48581392118128,0.45,0.561819999999999,1.03581392118128
0.06465,0.792864372736272,0.725404142854491,1.51826851559076,0.45,0.56182,1.06826851559076
0.066,0.816171612017759,0.734745802507277,1.55091741452504,0.45,0.56182,1.10091741452504
